Mawazin,উত্তরবঙ্গ বাটিক হাউজ,One Ummah BD,শাহী ভ্যারাইটি স্টোর,HR Knitting,ফ্রান্স এক্সপোর্ট wak and sa,Adventure Madness,Food Pallet,Ahbab,আহমেদ মোটরস,গাড়ীয়াল,বানু এন্টারপ্রাইস,Food Network Agro,পজিটিভ বাজার,কাচ্চি খানা'স,Tasneem Knitting,IVAMCO,আমার ফুডস,মেড ইজি
"আমার কাছে কাছে তাদেরকে উদ্যমী মনে হয়েছে। স্বামী স্ত্রী মিলে ব্যবসা করেন, আর স্বামী অনেক কর্মঠ। আশা রাখছি তারা ব্যবসা ভালো করবেন।",I contacted with him.He is so gentle and he gave me all the information about investing his company. Inshallah i will Invest his company.,জুলাই থেকে ইনভেস্ট করেছি।। যদিও এক মাস হয়ে যাচ্ছে ডকুমেন্টস গুলো পাই নাই।।,,,,,,,,,,,,,,,১ মাস হল ইনভেস্ট করেছি।।।।দেখা যাক কেমন হয়,Best 
,Good behavior and transparent. Update regularly on their investor group.,গুড,,,,,,,,,,,,,,,"Owner is very good person and honest.He is provided every monthly sells report,",বিনিয়োগের করেছি মাত্র ১ মাস।তার পরও যতেষ্ট আন্তরিক মনে হয়েছে।ধন্যবাদ আরেফিন 
,উদ্যোক্তা ভাইয়েরা সকলেই আন্তরিক ও বন্ধুসুলভ। নিয়মিত স্বচ্ছ হিসাব প্রদান করেন গ্রুপে। ,অনেক এড দেখেছি। বারবার চিন্তা করেছি কিন্তু সাহস করতে পারতেছি না,,,,,,,,,,,,,,,খুব ভালো। ,ভালো লেগেছে। পরবর্তীতে ইচ্ছে আছে।
,"Alhmadulillah, Very  Positive attitude of the Tipu Sultan & His brothers,  accountability is also in time. Thanks to them & You   ",,,,,,,,,,,,,,,,পলাশ সাহেবকে আমার কাছে বেশ এডুকেটেড মনে হয়েছে। মিতভাষী কিন্তু আন্তরিক হিসাবে পেয়েছি।,জুলাই-২৬ এ প্রথম ইনভেস্ট করেছি।।আরেফিন ভাই কে প্রফেশনাল মনে হয়েছে।। এবং প্রতিষ্ঠান এর সারভিস ও তুলনামূলক ভাবে ভালো লেগেছে।। 
,Inveated 2 lac. Satisfied. Communication is maintained well. Seems to me trustworthy,,,,,,,,,,,,,,,,উনি সম্ভব এনালগ পদ্ধতিতে হিসাব করেন।উনার উচিৎ সফটওয়্যার নির্ভর ব্যাবসা করা তাহলে হিসাব আরও নিখুঁত হবে। ,"ভাইকে খুবই প্রফেশনাল হিসেবে পেয়েছি,খুবই আন্তরিক এবং দক্ষ মানুষ।"
,,,,,,,,,,,,,,,,,"ভালো মানুষ, বিনিয়োগের ইচ্ছা আছে ",গুড
,,,,,,,,,,,,,,,,,খোলামনের মানুষ ,"সবচেয়ে Professional এবং Rational মনে হয়েছে তাঁকে। জনাব আরেফিন জামানের সাথে শুধু ভয়েস ম্যাসেজ ও চ্যাটে কথা হয়েছে; কলেও কথা হয়নি আর দেখা হওয়া তো না-ই। তবু এখানে আমি আমার বিনিয়োগসমূহের মধ্যে সর্বোচ্চ এমাউন্ট দীর্ঘতম সময়ের জন্য করেছি, আলহামদুলিল্লাহ। কারণ, চুক্তিপত্রের স্বচ্ছতা, উদ্যোক্তার Flexibility, Accountability এবং কোম্পানি প্রোফাইল। চুক্তিপত্রের কিছু সংশোধনী প্রস্তাব খুব সহজেই যেমন গ্রহণ করেছেন আবার ১ টি প্রস্তাব গ্রহণে যৌক্তিকভাবে দ্বিমত পোষণ করেছেন যেটি তাঁর পেশাদারিত্ব ফুটিয়ে তুলেছে।"
,,,,,,,,,,,,,,,,,এফ এম জি সেক্টরের কম্পানি ঝুকি কম চাহিদা সব সময়।বিনিয়োগ করেছি আরো করব ইনশাআল্লাহ। ,I am satisfied with Medeasy. Their service & response is very good.
,,,,,,,,,,,,,,,,,"একজন ভদ্র মার্জিত এবং সৎ ব্যক্তি বলেই আমার কাছে মনে হয়েছে। মুনাফার টাকা নিজ উদ্যোগে নক করে পাঠিয়ে দিয়েছেন। দিন তারিখের ব্যাপারে ওনাকে সিরিয়াস লেগেছে। এবং প্রফিট অন্য জায়গার তুলনায় কম হলেও, ব্যবসায় ঝুঁকিও কম। পরামর্শ থাকছে যে প্রফিট শেয়ারটা ৪০/৬০ না করে যদি ৫০/৫০ করতে পারেন, তাহলে আরেকটু বেটার ডিল হত ইনশাআল্লাহ। ","আচার-ব্যবহার ভালো, পেশাদারিত্ব বজায় রেখে কাজ করেন।"
,,,,,,,,,,,,,,,,,উনাদের হোয়াটসঅ্যাপ গ্রুপ অনলি মি করে রাখছে। এতে আমরা যারা বিনিয়োগ করছি তারা কোনো আলোচনা চাইলে করার সুযোগ নাই। প্রতি মাসে কোনো হিসাব দেয়না।,Did not invest yet but planning to invest. Overall it seems to me this can be a good place for investment as the company is established already.
,,,,,,,,,,,,,,,,,"আলহামদুলিল্লাহ, উনাদের রেসপন্স ভালো।চুক্তি অনুযায়ী সব এখন পর্যন্ত ঠিকঠাক আছে।কোন কিছু জানতে চাইলে রেসপন্স পাই।",
,,,,,,,,,,,,,,,,,ব্যবহার আলহামদুলিল্লাহ খুব ভালো। এখন পর্যন্ত সব ঠিকঠাক আছে। ,
,,,,,,,,,,,,,,,,,Better ,
,,,,,,,,,,,,,,,,,কথা এবং  কাজে যতেষ্ট মিল।তার কমিউনিকেশন যতেষ্ট ভালো। ,
,,,,,,,,,,,,,,,,,প্রতিষ্ঠানটি ওয়েল ডকুমেন্টেড। প্রতিষ্ঠাতা সজ্জন বলেই মনে হয়। প্রতি মাসে প্রফিট শেয়ার করছেন চুক্তি মাফিক। গ্রুপে প্রতি মাসিক একটা হিসাবও শেয়ার করছেন। শুধু তাদের সেলস একটিভিটি টা ভিজুয়াল না। তাদের তেমন মার্কেটিং একটিভিটি বোঝা যায় না এবং লোকালি খবর নিয়ে দেখেছি তাদের প্রডাক্টও খুব পরিচিত নয় তার ডিস্ট্রিবিউট এলাকায়। বাট মাসিক সেলস দেখাচ্ছেন ৪০ লাখ প্লাস এটাই একটু খটকা। বিনিয়োগ বৃদ্ধি এডমিন প্যানেলকে অনুরোধ করবো তাদের দেয়া মাসিক সেলস রিপোর্ট টা সারপ্রাইজ অডিট করতে। ধন্যবাদ,
,,,,,,,,,,,,,,,,,পলাশ ভাই কে অত্যন্ত বিনম্র মনে হয়েছে।।উনার ব্যবসা বানিজ্য নিয়ে বিস্তারিত বলেছেন যেটা আমার কাছে ভালো লেগেছে।। সমস্ত ডকুমেন্টস আপডেট করা আছে।।সুন্দর উপস্থাপনা উনার।।উনার এইখানে ও আমি জুলাই থেকে ইনভেস্ট করেছি।।  ,
,,,,,,,,,,,,,,,,,বেশ ভালো লেগেছে ,
,,,,,,,,,,,,,,,,,গুড,
,,,,,,,,,,,,,,,,,আমি এখানে ইনভেস্ট করতে আগ্রহী।,
,,,,,,,,,,,,,,,,,ইনশাআল্লাহ পছন্দ হয়েছে বাকি টা আল্লাহ ভরসা তবে এখনো জয়েন হয়নাই  হবো ইচ্ছে আছে বাকি সততা কামনা করি,
,,,,,,,,,,,,,,,,,একজন ভালো মানুষ অল্প কিছু দিন হয়েছে বিনিয়োগ করেছি,
,,,,,,,,,,,,,,,,, আমার ফুড নির্দিষ্ট টাইম প্রেমের মধ্যে ইনভেস্টদেরকে প্রফিট প্রদান করছেনা আমি মনে করি এটা একটা কমিটমেন্টের ঘাটতি উদাহরণস্বরূপ প্রতিমাসের ১৬ তারিখে আমার এক মাস পূর্ণ হয় সেই হিসেবে পরবর্তী 10 দিনের মধ্যে অর্থাৎ ২৬ তারিখের মধ্যে আমার একাউন্টে প্রফিট ডিপোজিট করার কথা। কিন্তু সেটি ডিপোজিট করা হয়েছে তার সেটি তার পরবর্তী এক মাসের ১ তারিখ। এভাবে প্রত্যেক মাসে দেরী করা হয়। আশা করি মহাইমিন ভাই এ ব্যাপারে যথাযথ পদক্ষেপ নেবেন,
,,,,,,,,,,,,,,,,,Invested 2 lac. He is professional and deals with the investor in a nice and professional way,
,,,,,,,,,,,,,,,,,আমার বিনিয়োগকৃত প্রতিষ্ঠানসমূহের মধ্যে সর্বাধিক flexible এবং transparent মনে হয়েছে তাঁকে। খাদ্যপণ্যের ব্যবসায় হওয়ায় সরকারি দপ্তরসমূহের বিভিন্ন কাগজপত্র থাকা জরুরি। বলামাত্রই তিনি সমস্ত আপডেট কাগজপত্র দেখিয়েছেন যা আমার কাছে তাঁর গ্রহণযোগ্যতা বহুলাংশে বাড়িয়ে দিয়েছে। এছাড়া চুক্তিপত্রের কিছু সংশোধন প্রস্তাবও তিনি খুব সহজেই গ্রহণ করেছেন যা তার আন্তরিকতারই বহি:প্রকাশ।,
